Sample (1000 Ep),Avg Reward (1000 Ep), Overall Avg Reward
189.0,22.382279999999984,17.172850143649896
190.0,20.626769999999986,17.191028573533675
191.0,20.69429999999998,17.20937021272121
192.0,22.651560000000007,17.237714803568544
193.0,21.328020000000045,17.25890798493256
194.0,20.229230000000012,17.27421884423262
195.0,19.541089999999983,17.285843764903625
196.0,20.031089999999992,17.29985005178533
197.0,20.389699999999976,17.3155344896725
198.0,22.92421999999999,17.34386104110576
199.0,21.426870000000015,17.36437857096189
200.0,22.481249999999978,17.3899628001859
