Sample (1000 Ep),Avg Reward (1000 Ep), Overall Avg Reward
0.0,-22.63,-22.63
1.0,-23.751659999999987,-23.750539460539446
2.0,-23.44044000000001,-23.59556721639176
3.0,-23.21585000000002,-23.469036987670744
4.0,-22.855240000000013,-23.31562609347662
5.0,-22.478719999999985,-23.148278344331118
6.0,-22.027990000000052,-22.96159473421094
7.0,-21.08401000000002,-22.693406656191915
8.0,-19.63600000000001,-22.311278590176197
9.0,-17.67290000000001,-21.795960448838997
10.0,-11.632679999999992,-20.7797340265973
11.0,-0.27743999999999935,-18.916058540132685
12.0,-1.54449,-17.468548454295465
13.0,3.05254,-15.890124605799553
14.0,4.894640000000006,-14.40560459967146
15.0,6.735910000000003,-12.996264249050073
16.0,6.6869300000000065,-11.766141491156795
17.0,7.817300000000004,-10.614242103405667
18.0,8.689690000000002,-9.54186100772177
19.0,7.861199999999998,-8.625958633756104
20.0,9.618829999999988,-7.7137648117593995
21.0,10.620299999999997,-6.840755678301051
22.0,10.822989999999994,-6.037894641152679
23.0,12.187100000000001,-5.245538020086102
24.0,12.416580000000005,-4.509647098037603
25.0,12.885130000000009,-3.813883844646238
26.0,11.69971000000001,-3.217230106534387
27.0,12.870829999999996,-2.6213980963668244
28.0,12.495070000000016,-2.081543516303011
29.0,13.253119999999985,-1.5527802489569524
30.0,12.73234999999999,-1.0766251124962651
31.0,13.275559999999992,-0.6136663333440987
32.0,13.51335999999999,-0.17221055592013929
33.0,13.789150000000005,0.25084815611646977
34.0,14.806470000000004,0.6789420899385195
35.0,12.26991999999999,1.0101034256163988
36.0,14.586109999999998,1.3872042443265362
37.0,15.077059999999985,1.7571903462068479
38.0,16.043610000000005,2.1331388647667078
39.0,15.56295999999999,2.477484423476319
40.0,14.994090000000007,2.790391740206489
41.0,16.100710000000017,3.1150257310797214
42.0,16.11212000000002,3.424472988738348
43.0,15.168590000000005,3.6975856375433036
44.0,16.675399999999996,3.992529260698613
45.0,17.36113000000001,4.289602675496093
46.0,17.418700000000033,4.575011630181945
47.0,16.622149999999994,4.831328269611277
48.0,16.346470000000014,5.071222057873777
49.0,17.634280000000032,5.327605763147665
50.0,17.03936000000002,5.56183616327671
51.0,17.487929999999977,5.795676555361624
52.0,17.96608999999998,6.029718466952515
53.0,17.047040000000013,6.23758853606533
54.0,17.881010000000014,6.453203459195157
55.0,19.390520000000006,6.6884231195795865
56.0,21.593170000000008,6.954574561168482
57.0,20.271860000000014,7.188207048999093
58.0,18.765059999999988,7.387804520611665
59.0,20.67742000000001,7.613048422908032
60.0,17.715910000000004,7.781426642889225
61.0,22.561649999999965,8.02372141440298
62.0,21.00329000000004,8.233065918291596
63.0,20.41107000000001,8.42636450215071
64.0,22.63839999999999,8.648424087123617
65.0,17.873220000000007,8.790341840894706
66.0,20.984220000000022,8.975094771291309
67.0,20.89724999999999,9.153034730824873
68.0,18.83022999999997,9.295344333171501
69.0,19.746900000000032,9.446813959217893
70.0,21.57129,9.620018285453
71.0,17.755149999999983,9.734595991605707
72.0,19.495100000000033,9.870156664490702
73.0,20.995429999999995,10.022555581430337
74.0,20.62871000000002,10.165880055674888
75.0,18.786250000000003,10.28081678910941
76.0,20.798309999999972,10.419203036802077
77.0,21.146110000000004,10.558511707640097
78.0,19.666869999999996,10.675284034820008
79.0,19.59809,10.788229516082025
80.0,20.672639999999987,10.911783102711158
81.0,18.64603,11.007266453500502
82.0,21.854279999999996,11.13954549334756
83.0,21.38720000000002,11.263009722774342
84.0,20.208229999999993,11.369499172628815
85.0,19.552499999999984,11.46576863801593
86.0,21.657789999999995,11.584279136289027
87.0,21.439260000000008,11.69755347639672
88.0,20.302029999999974,11.795330507607773
89.0,23.016480000000016,11.92140942236595
90.0,19.857549999999964,12.009587782357874
91.0,19.76621000000002,12.094824452478449
92.0,20.22290999999999,12.183172248127644
93.0,23.800850000000025,12.308092171051797
94.0,22.58246999999999,12.417392900075411
95.0,20.15391000000004,12.498829064957128
96.0,21.446279999999994,12.59203070801341
97.0,21.61980000000003,12.685099535056295
98.0,23.648100000000017,12.796965745247443
99.0,20.81888,12.877994363693238
100.0,22.116059999999994,12.970374096258954
101.0,20.437030000000004,13.044300650488509
102.0,22.840210000000006,13.140338035901493
103.0,24.14377000000003,13.247166435277231
